InternalId,Company: Name,Address: Street,Address: Neighborhood: Name,Address: City: Name,Listing: Price: Price,Listing: Price: Currency,Type,Quality,QualityScore,Listing: Operation
CAE-014,5a Avenida Real Estate,Calzada de las Águilas 1885,Villa Verdún,Alvaro Obregón,"14,490,000",MXN,Casa,medium,2,sale
CAE-624,5a Avenida Real Estate,Leandro Valle 36,San Ángel,Alvaro Obregón,"43,000,000",MXN,Casa,medium,2,sale
CAG-741,5a Avenida Real Estate,Frontera 89,Tizapan,Alvaro Obregón,"15,500,000",MXN,Casa,medium,2,sale
CAN-543,5a Avenida Real Estate,Laguna 21-1,Las Águilas,Alvaro Obregón,"12,800,000",MXN,Casa,medium,2,sale
CAS-674,5a Avenida Real Estate,Rancho San Francisco 28,San Bartolo Ameyalco,Alvaro Obregón,"37,000,000",MXN,Casa,medium,2,sale
CAW-716,5a Avenida Real Estate,Aida 47,San Ángel,Alvaro Obregón,"18,950,000",MXN,Casa,medium,2,sale
CCL-727,5a Avenida Real Estate,"Circuito San Francisco #87, Rancho San Francisco Pueblo de San Bartolo Ameyalco",San Bartolo Ameyalco,Alvaro Obregón,"28,000,000",MXN,Casa,medium,2,sale
CCQ-701,5a Avenida Real Estate,La Escondida 102,Jardines de Ahuatepec,Cuernavaca,"29,900,000",MXN,Casa,medium,2,sale
CFP-096,5a Avenida Real Estate,Avenida Hidalgo 148,San Bartolo Ameyalco,Alvaro Obregón,"16,500,000",MXN,Casa,medium,2,sale
CGH-356,5a Avenida Real Estate,Avenida Picacho 140,Jardines del Pedregal,Alvaro Obregón,"29,900,000",MXN,Casa,medium,2,sale
CHG-277,5a Avenida Real Estate,Villa Versalles 1,Lomas de las Palmas,Huixquilucan,"11,390,000",MXN,Casa,high,3,sale
CHG-832,5a Avenida Real Estate,Fuente del Pescador,Lomas de Tecamachalco,Huixquilucan,"12,800,000",MXN,Casa,medium,2,sale
CHU-109,5a Avenida Real Estate,Cerrada Rosaleda 51,Lomas Altas,Miguel Hidalgo,"20,900,000",MXN,Casa,medium,2,sale
CKJ-031,5a Avenida Real Estate,Agua 151,Jardines del Pedregal,Alvaro Obregón,"35,000,000",MXN,Casa,medium,2,sale
CLP-964,5a Avenida Real Estate,Versalles 34B,Villa Verdún,Alvaro Obregón,"17,000,000",MXN,Casa,medium,2,sale
CNG-353,5a Avenida Real Estate,Fuente de Diana 3,Lomas de Tecamachalco,Naucalpan de Juárez,"14,900,000",MXN,Casa,medium,2,sale
CPG-361,5a Avenida Real Estate,Bosques de la Reforma 303,Bosque de las Lomas,Miguel Hidalgo,"2,300,000",USD,Casa,medium,2,sale
CPO-415,5a Avenida Real Estate,Monte Albán 10,Fraccionamiento Lomas de Cocoyoc,Atlatlahucan,"6,500,000",MXN,Casa,medium,2,sale
CRO-517,5a Avenida Real Estate,Rincón Tlacopac 12,Las Águilas,Alvaro Obregón,"24,500,000",MXN,Casa en condominio,medium,2,sale
CRW-439,5a Avenida Real Estate,Bosque de Sauces 487,Bosque de las Lomas,Miguel Hidalgo,"39,500,000",MXN,Casa,medium,2,sale
CSG-353,5a Avenida Real Estate,Tlalixcoyan 22,Barrio San Francisco,La Magdalena Contreras,"19,500,000",MXN,Casa,medium,2,sale
CSJ-353,5a Avenida Real Estate,Carretera Picacho-Ajusco 1143,Miguel Hidalgo 3A Sección,Tlalpan,"11,000,000",MXN,Casa,medium,2,sale
CTM-795,5a Avenida Real Estate,Granaditas 1,Barrio La Magdalena,Tequisquiapan,"3,400,000",MXN,Casa,medium,2,sale
CTX-686,5a Avenida Real Estate,Amatenango 33,Cuchilla de Padierna,Tlalpan,"11,500,000",MXN,Casa,medium,2,sale
DAC-939,5a Avenida Real Estate,Periférico 900,San Pedro de los Pinos,Alvaro Obregón,"4,557,506",MXN,Departamento,medium,2,sale
DAJ-807,5a Avenida Real Estate,"Av. Santa Fe 456, Santa Fe Cuajimalpa, Cuajimalpa de Morelos",Santa Fe Cuajimalpa,Cuajimalpa de Morelos,"10,200,000",MXN,Departamento,medium,2,sale
DAK-323,5a Avenida Real Estate,Av. Loma Alta 780,Bosque Real,Huixquilucan,"15,600,000",MXN,Departamento,medium,2,sale
DAT-056,5a Avenida Real Estate,Avenida Loma Alta 780,Bosque Real,Huixquilucan,"9,930,000",MXN,Departamento,medium,2,sale
DAT-232,5a Avenida Real Estate,Periférico 900,San Pedro de los Pinos,Alvaro Obregón,"9,201,901",MXN,Departamento,medium,2,sale
DAX-616,5a Avenida Real Estate,Avenida Loma Alta 780,Bosque Real,Huixquilucan,"10,350,000",MXN,Departamento,medium,2,sale
DBC-959,5a Avenida Real Estate,Avenida Río Mixcoac 336,Acacias,Benito Juárez,"6,533,222",MXN,Departamento,medium,2,sale
DBX-258,5a Avenida Real Estate,Gabriel Ramos Millán 117,Niños Héroes,Benito Juárez,"3,795,000",MXN,Departamento,medium,2,sale
DBY-149,5a Avenida Real Estate,Avenida Río Mixcoac 336,Acacias,Benito Juárez,"7,634,424",MXN,Departamento,medium,2,sale
DBZ-296,5a Avenida Real Estate,Calle Fresas 21,Tlacoquemecatl,Benito Juárez,"17,500,000",MXN,Departamento,medium,2,sale
DCE-756,5a Avenida Real Estate,Vía Orquídea 1,Villa Florence,Huixquilucan,"8,300,000",MXN,Departamento,medium,2,sale
DCT-831,5a Avenida Real Estate,CUMBRES DE SANTA FE,San Mateo Tlaltenango,Cuajimalpa de Morelos,"25,300,000",MXN,Departamento,medium,2,sale
DEZ-066,5a Avenida Real Estate,Colima 49,Roma Norte,Cuauhtémoc,"13,000,000",MXN,Departamento,medium,2,sale
DKC-303,5a Avenida Real Estate,Quintana Roo 17,Roma Sur,Cuauhtémoc,"6,000,000",MXN,Departamento,medium,2,sale
DMD-654,5a Avenida Real Estate,Blvd. Adolfo López Mateos 2113,Los Alpes,Alvaro Obregón,"7,700,000",MXN,Departamento,medium,2,sale
DMJ-386,5a Avenida Real Estate,Rubén Darío 43,Polanco,Miguel Hidalgo,"28,000,000",MXN,Departamento,medium,2,sale
DMX-757,5a Avenida Real Estate,Av del Tiburón 2104,Fraccionamiento Palmas del Sol,Mazatlán,"5,049,752",MXN,Departamento,medium,2,sale
DQT-888,5a Avenida Real Estate,Periferico Sur 4421,Parque del Pedregal,Tlalpan,"7,895,000",MXN,Departamento,medium,2,sale
DSG-108,5a Avenida Real Estate,Panabá 327,Pedregal de San Nicolás,Tlalpan,"3,495,000",MXN,Departamento,medium,2,sale
DSN-711,5a Avenida Real Estate,Lomas de juriquilla,Lomas de Juriquilla,Querétaro,"4,530,439",MXN,Departamento,medium,2,sale
DTN-876,5a Avenida Real Estate,Carr. México - Toluca 5454,Santa Fe Cuajimalpa,Cuajimalpa de Morelos,"5,980,000",MXN,Departamento,medium,2,sale
DTQ-206,5a Avenida Real Estate,Calle de Empresa 121,Insurgentes Mixcoac,Benito Juárez,"4,980,000",MXN,Departamento,medium,2,sale
DXE-258,5a Avenida Real Estate,Av. Homero 613-402,Polanco,Miguel Hidalgo,"19,000,000",MXN,Departamento,medium,2,sale
EMP-117,5a Avenida Real Estate,Gobernador Luis G. Vieyra 73,San Miguel Chapultepec,Miguel Hidalgo,"35,000,000",MXN,Edificio,medium,2,sale
FUD-828,5a Avenida Real Estate,Xalatlaco,Xalatlaco,Xalatlaco,"9,800,000",USD,Finca,medium,2,sale
PAU-907,5a Avenida Real Estate,Alcázar de Toledo 170,Lomas de Reforma,Miguel Hidalgo,"50,000,000",MXN,Departamento,medium,2,sale
TIT-164,5a Avenida Real Estate,Orilla del Río y Zapote S/N,Pueblo El Maye,Ixmiquilpan,"16,000,000",MXN,Terreno residencial,medium,2,sale
TJL-396,5a Avenida Real Estate,El Macehual,Rancho o rancheria Atotonilco,San Miguel de Allende,"750,000",MXN,Terreno residencial,medium,2,sale
TLU-026,5a Avenida Real Estate,Lomas Quebradas 144,San Jerónimo Lídice,La Magdalena Contreras,"13,520,000",MXN,Terreno residencial,medium,2,sale
CCA-408,Andina Real Estate,Fuente del Castillo 33,Lomas de Tecamachalco,Naucalpan de Juárez,"14,800,000",MXN,Casa,high,3,sale
CCA-574,Andina Real Estate,Lomas de Tlapexco 113,Lomas de Vista Hermosa,Cuajimalpa de Morelos,"17,300,000",MXN,Casa,medium,2,sale
CCB-147,Andina Real Estate,Julián Adame 137,Lomas de Vista Hermosa,Cuajimalpa de Morelos,"13,700,000",MXN,Casa,medium,2,sale
CCC-015,Andina Real Estate,Loma de Vista Hermosa 20,Lomas de Vista Hermosa,Cuajimalpa de Morelos,"11,500,000",MXN,Casa,high,3,sale
CCJ-084,Andina Real Estate,Fuente de Diana 203,Lomas de Tecamachalco,Naucalpan de Juárez,"11,990,000",MXN,Casa,medium,2,sale
CCL-175,Andina Real Estate,Julián Adame 137,Lomas de Vista Hermosa,Cuajimalpa de Morelos,"19,300,000",MXN,Casa en condominio,high,3,sale
CCM-723,Andina Real Estate,Condominio Abedules,Fraccionamiento Real del Bosque,Corregidora,"4,750,000",MXN,Casa,medium,2,sale
CEJ-808,Andina Real Estate,Circuito Economistas 35,Ciudad Satélite,Naucalpan de Juárez,"7,750,000",MXN,Casa,medium,2,sale
CHA-762,Andina Real Estate,Calzada Desierto de los Leones 5290,Tetelpan,Alvaro Obregón,"14,000,000",MXN,Casa,high,3,sale
CHG-607,Andina Real Estate,Av. Club de Golf Lomas 14,Lomas Country Club,Naucalpan de Juárez,"15,000,000",MXN,Casa,medium,2,sale
CJR-944,Andina Real Estate,Capital Sur,Capital Sur,El Marqués,"3,699,000",MXN,Casa,medium,2,sale
CMI-183,Andina Real Estate,Bosque Real,Bosque Real,Huixquilucan,"17,600,000",MXN,Casa,high,3,sale
CNG-888,Andina Real Estate,Bosque de Limas,Bosques de las Lomas,Cuajimalpa de Morelos,"48,000,000",MXN,Casa,medium,2,sale
CQC-435,Andina Real Estate,Paseo Ahuehuetes Norte 286,Bosque de las Lomas,Miguel Hidalgo,"21,900,000",MXN,Casa,medium,2,sale
CQK-834,Andina Real Estate,Lafontaine 315,Polanco,Miguel Hidalgo,"50,000,000",MXN,Casa,medium,2,sale
CQY-809,Andina Real Estate,Hacienda La Antigua 17,Hacienda de las Palmas,Huixquilucan,"13,225,000",MXN,Casa,medium,2,sale
CUP-373,Andina Real Estate,Guadalupana 10,Mineral de Pozos,San Luis de la Paz,"4,000,000",MXN,Casa,medium,2,sale
CVN-623,Andina Real Estate,Fontana Bella 14,Avándaro,Valle de Bravo,"20,200,000",MXN,Casa,medium,2,sale
CVP-548,Andina Real Estate,Fraccionamiento Cañadas del Lago,Fraccionamiento Cañadas del Lago,Corregidora,"7,950,000",MXN,Casa,medium,2,sale
CWA-017,Andina Real Estate,Avenida 5 Poniente 538,Centro,Puebla,"20,000,000",MXN,Edificio,high,3,sale
CXU-665,Andina Real Estate,Francisco Peñuñuri 27,Del Carmen,Coyoacán,"18,500,000",MXN,Casa,medium,2,sale
CYS-184,Andina Real Estate,Av. José María Castorena 585,El Molino,Cuajimalpa de Morelos,"12,490,000",MXN,Casa,medium,2,sale
DAA-286,Andina Real Estate,Av Bernardo Quintana 90,Santa Fe La Loma,Alvaro Obregón,"12,500,000",MXN,Departamento,high,3,sale
DAB-965,Andina Real Estate,Segunda Cerrada del Moral 29,Tetelpan,Alvaro Obregón,"5,380,000",MXN,Departamento,medium,2,sale
DAC-048,Andina Real Estate,Gutiérrez Zamora 252,Ampliación Alpes,Alvaro Obregón,"19,900,000",MXN,Departamento,high,3,sale
DAF-084,Andina Real Estate,Torre Vista del Campo,Santa Fe Cuajimalpa,Cuajimalpa de Morelos,"21,000,000",MXN,Departamento,high,3,sale
DAN-715,Andina Real Estate,Revo 1386,Guadalupe Inn,Alvaro Obregón,"6,500,000",MXN,Departamento,high,3,sale
DBD-998,Andina Real Estate,Av. Coyoacán 910 ,Del Valle Centro,Benito Juárez,"8,520,000",MXN,Departamento,medium,2,sale
DBF-674,Andina Real Estate,Nápoles 86,Juárez,Cuauhtémoc,"3,087,622",MXN,Departamento,medium,2,sale
DCB-389,Andina Real Estate,Bosques de la Reforma 1592,Cumbres Reforma,Cuajimalpa de Morelos,"1,200,000",USD,Departamento,high,3,sale
DCC-967,Andina Real Estate,Altavista 61,Santa Fe Cuajimalpa,Cuajimalpa de Morelos,"15,950,000",MXN,Departamento,high,3,sale
DCE-238,Andina Real Estate,Nápoles 86,Juárez,Cuauhtémoc,"5,934,313",MXN,Departamento,high,3,sale
DCG-615,Andina Real Estate,Avenida Ejército Nacional Mexicano 769,Polanco,Miguel Hidalgo,"11,500,000",MXN,Departamento,medium,2,sale
DCN-113,Andina Real Estate,Carr. México-Toluca 5454,El Yaqui,Cuajimalpa de Morelos,"7,000,000",MXN,Departamento,medium,2,sale
DCO-364,Andina Real Estate,Av. P.º de la Reforma 150,Juárez,Cuauhtémoc,"12,633,598",MXN,Departamento,medium,2,sale
DCP-533,Andina Real Estate,Altavista 61,Santa Fe Cuajimalpa,Cuajimalpa de Morelos,"21,000,000",MXN,Departamento,high,3,sale
DCQ-667,Andina Real Estate,Av. Baja California 246,Hipódromo,Cuauhtémoc,"7,300,000",MXN,Departamento,high,3,sale
DCT-926,Andina Real Estate,"José María Iglesias 59, Tabacalera, Ciudad de México, CDMX, México ",Tabacalera,Cuauhtémoc,"4,100,000",MXN,Departamento,high,3,sale
DCU-469,Andina Real Estate,Av Nuevo León 219,Hipódromo Condesa,Cuauhtémoc,"8,300,000",MXN,Departamento,high,3,sale
DCV-222,Andina Real Estate,Avenida Homero 1925,Polanco,Miguel Hidalgo,"11,900,000",MXN,Departamento,medium,2,sale
DCV-338,Andina Real Estate,Julián Adame 91,Jardines de la Palma,Cuajimalpa de Morelos,"8,450,000",MXN,Departamento,high,3,sale
DDF-342,Andina Real Estate,Emerson 239,Polanco,Miguel Hidalgo,"15,500,000",MXN,Departamento,medium,2,sale
DDI-231,Andina Real Estate,Rubén Darío 225,Polanco,Miguel Hidalgo,"82,308,027",MXN,Departamento,medium,2,sale
DDV-857,Andina Real Estate,Calle Lago Zurich 168,Ampliación Granada,Miguel Hidalgo,"9,500,000",MXN,Departamento,medium,2,sale
DDV-898,Andina Real Estate,Avenida Jaime Balmes 62,Polanco,Miguel Hidalgo,"9,800,000",MXN,Departamento,medium,2,sale
DDX-473,Andina Real Estate,Schiller 317,Polanco,Miguel Hidalgo,"17,900,000",MXN,Departamento,medium,2,sale
DEB-972,Andina Real Estate,Ferrocarril de Cuernavaca 307,Los Manzanos,Miguel Hidalgo,"3,100,000",MXN,Departamento,medium,2,sale
DED-158,Andina Real Estate,Calle General Francisco Murguía,Escandón I Sección,Miguel Hidalgo,"8,900,000",MXN,Departamento,medium,2,sale
DFX-857,Andina Real Estate,Blvd. Adolfo López Mateos 2100,Los Alpes,Alvaro Obregón,"6,800,000",MXN,Departamento,medium,2,sale
DHD-974,Andina Real Estate,Avenida Sudermann 329,Polanco,Miguel Hidalgo,"14,250,000",MXN,Departamento,medium,2,sale
DHO-267,Andina Real Estate,Antiguo Camino a Tecamachalco,El Olivo,Huixquilucan,"9,000,000",MXN,Departamento,high,3,sale
DID-489,Andina Real Estate,Platón 339,Polanco,Miguel Hidalgo,"21,500,000",MXN,Departamento,medium,2,sale
DJE-843,Andina Real Estate,Galileo 331,Polanco,Miguel Hidalgo,"23,000,000",MXN,Departamento,high,3,sale
DJL-485,Andina Real Estate,Fuente de La Alegría,Lomas de Tecamachalco,Naucalpan de Juárez,"7,900,000",MXN,Departamento,medium,2,sale
DJW-346,Andina Real Estate,Av Nuevo León 219,Hipódromo Condesa,Cuauhtémoc,"13,900,000",MXN,Departamento,medium,2,sale
DKQ-093,Andina Real Estate,Rubén Darío 225,Polanco,Miguel Hidalgo,"93,813,970",MXN,Departamento,medium,2,sale
DMA-017,Andina Real Estate,Calle Arquímedes 11,Polanco,Miguel Hidalgo,"1,890,000",USD,Departamento,high,3,sale
DMA-171,Andina Real Estate,Calle Arquímedes 50,Polanco,Miguel Hidalgo,"1,650,000",USD,Departamento,high,3,sale
DMA-543,Andina Real Estate,Av. Ejército Nacional Mexicano 769,Ampliación Granada,Miguel Hidalgo,"59,000,000",MXN,Departamento,high,3,sale
DMB-080,Andina Real Estate,A. Musset 326,Polanco,Miguel Hidalgo,"32,000,000",MXN,Departamento,high,3,sale
DMB-473,Andina Real Estate,Rosedal 9,Lomas de Chapultepec,Miguel Hidalgo,"20,000,000",MXN,Departamento,high,3,sale
DMB-661,Andina Real Estate,Goldsmith 214,Polanco,Miguel Hidalgo,"43,500,000",MXN,Departamento,medium,2,sale
DMC-109,Andina Real Estate,Galileo 119,Polanco,Miguel Hidalgo,"2,580,000",USD,Departamento,high,3,sale
DMD-464,Andina Real Estate,Calle Arquímedes 11,Polanco,Miguel Hidalgo,"25,000,000",MXN,Departamento,high,3,sale
DMI-444,Andina Real Estate,Campos Elíseos,Polanco,Miguel Hidalgo,"35,000,000",MXN,Departamento,high,3,sale
DMJ-628,Andina Real Estate,Calle Lago Zurich 243,Ampliación Granada,Miguel Hidalgo,"9,950,000",MXN,Departamento,medium,2,sale
DML-316,Andina Real Estate,Lago Andromaco 1,Ampliación Granada,Miguel Hidalgo,"6,950,000",MXN,Departamento,high,3,sale
DML-367,Andina Real Estate,Calle Arquímedes 87,Polanco,Miguel Hidalgo,"14,000,000",MXN,Departamento,medium,2,sale
DMM-729,Andina Real Estate,C. Lago Filt 7,Granada,Miguel Hidalgo,"8,800,000",MXN,Departamento,medium,2,sale
DMN-265,Andina Real Estate,Rincón del Bosque 47,Polanco,Miguel Hidalgo,"25,000,000",MXN,Departamento,high,3,sale
DMQ-041,Andina Real Estate,Rincón del Bosque 47,Polanco,Miguel Hidalgo,"26,500,000",MXN,Departamento,high,3,sale
DMQ-298,Andina Real Estate,Paseo de Los Ahuehuetes Norte 768,Bosque de las Lomas,Miguel Hidalgo,"10,800,000",MXN,Departamento,high,3,sale
DMQ-894,Andina Real Estate,Goldsmith 345,Polanco,Miguel Hidalgo,"22,500,000",MXN,Departamento,high,3,sale
